KIDEN	Sinistralité RC - SNB11 2-3	Code usage - CUSA  5-6	Age de l assuré - DNAI 8-9	Sexe - SEXE 11-12	Code Langue - CLAN 14-15	Code postal souscripteur - POSS2 17-18	Bonus-malus RC(année en cours) - GBMC 20	Bonus-Malus Année -1 - GBM1	Puissance du véhicule (12 mod) - PUIS 32	Date effet Police (2 mod) - DPEP 26-27	Année de construction du véhicule (2 mod	Primes acquises RC 1991 en francs belges
38	SINIST=1	CUSAG=2	AGE=9	SEXE=1	CLANG=2	CPOST=6	BM=1	BM_1=2	PUIS12M=5	DPOLI2M=1	DCONS2M=1	PRIM3M=2
39	SINIST=1	CUSAG=2	AGE=9	SEXE=1	CLANG=2	CPOST=12	BM=1	BM_1=2	PUIS12M=4	DPOLI2M=2	DCONS2M=1	PRIM3M=2
40	SINIST=1	CUSAG=2	AGE=9	SEXE=1	CLANG=1	CPOST=12	BM=1	BM_1=1	PUIS12M=4	DPOLI2M=1	DCONS2M=1	PRIM3M=2
43	SINIST=1	CUSAG=2	AGE=9	SEXE=1	CLANG=1	CPOST=1	BM=1	BM_1=1	PUIS12M=9	DPOLI2M=1	DCONS2M=1	PRIM3M=2
44	SINIST=2	CUSAG=2	AGE=9	SEXE=1	CLANG=1	CPOST=5	BM=1	BM_1=2	PUIS12M=7	DPOLI2M=2	DCONS2M=1	PRIM3M=3
45	SINIST=1	CUSAG=2	AGE=9	SEXE=1	CLANG=1	CPOST=12	BM=1	BM_1=2	PUIS12M=6	DPOLI2M=2	DCONS2M=1	PRIM3M=2
47	SINIST=2	CUSAG=2	AGE=7	SEXE=2	CLANG=2	CPOST=12	BM=3	BM_1=4	PUIS12M=4	DPOLI2M=2	DCONS2M=1	PRIM3M=3
48	SINIST=1	CUSAG=1	AGE=9	SEXE=3	CLANG=2	CPOST=12	BM=1	BM_1=1	PUIS12M=11	DPOLI2M=2	DCONS2M=1	PRIM3M=3
49	SINIST=1	CUSAG=2	AGE=9	SEXE=1	CLANG=1	CPOST=10	BM=1	BM_1=1	PUIS12M=4	DPOLI2M=2	DCONS2M=1	PRIM3M=1
51	SINIST=2	CUSAG=2	AGE=9	SEXE=1	CLANG=1	CPOST=9	BM=1	BM_1=1	PUIS12M=2	DPOLI2M=1	DCONS2M=2	PRIM3M=2
52	SINIST=1	CUSAG=2	AGE=9	SEXE=1	CLANG=1	CPOST=9	BM=1	BM_1=1	PUIS12M=6	DPOLI2M=1	DCONS2M=1	PRIM3M=2
53	SINIST=1	CUSAG=2	AGE=9	SEXE=1	CLANG=1	CPOST=3	BM=1	BM_1=1	PUIS12M=5	DPOLI2M=1	DCONS2M=1	PRIM3M=2
54	SINIST=1	CUSAG=2	AGE=9	SEXE=1	CLANG=2	CPOST=9	BM=1	BM_1=2	PUIS12M=8	DPOLI2M=1	DCONS2M=2	PRIM3M=2
55	SINIST=1	CUSAG=2	AGE=9	SEXE=1	CLANG=1	CPOST=5	BM=1	BM_1=1	PUIS12M=6	DPOLI2M=1	DCONS2M=1	PRIM3M=2
56	SINIST=1	CUSAG=2	AGE=9	SEXE=1	CLANG=1	CPOST=3	BM=1	BM_1=1	PUIS12M=6	DPOLI2M=1	DCONS2M=1	PRIM3M=2
57	SINIST=2	CUSAG=1	AGE=9	SEXE=3	CLANG=1	CPOST=9	BM=7	BM_1=7	PUIS12M=7	DPOLI2M=1	DCONS2M=2	PRIM3M=3
58	SINIST=2	CUSAG=2	AGE=4	SEXE=1	CLANG=1	CPOST=2	BM=3	BM_1=1	PUIS12M=3	DPOLI2M=1	DCONS2M=1	PRIM3M=2
59	SINIST=1	CUSAG=2	AGE=9	SEXE=1	CLANG=1	CPOST=5	BM=1	BM_1=1	PUIS12M=8	DPOLI2M=1	DCONS2M=1	PRIM3M=2
60	SINIST=1	CUSAG=2	AGE=9	SEXE=2	CLANG=1	CPOST=2	BM=1	BM_1=1	PUIS12M=6	DPOLI2M=1	DCONS2M=1	PRIM3M=2
61	SINIST=1	CUSAG=2	AGE=9	SEXE=1	CLANG=1	CPOST=5	BM=1	BM_1=1	PUIS12M=4	DPOLI2M=1	DCONS2M=1	PRIM3M=2
62	SINIST=1	CUSAG=2	AGE=9	SEXE=2	CLANG=1	CPOST=9	BM=1	BM_1=1	PUIS12M=3	DPOLI2M=1	DCONS2M=1	PRIM3M=1
63	SINIST=2	CUSAG=1	AGE=9	SEXE=1	CLANG=1	CPOST=5	BM=1	BM_1=1	PUIS12M=10	DPOLI2M=1	DCONS2M=2	PRIM3M=2
65	SINIST=1	CUSAG=2	AGE=9	SEXE=2	CLANG=1	CPOST=8	BM=1	BM_1=1	PUIS12M=4	DPOLI2M=1	DCONS2M=1	PRIM3M=2
66	SINIST=1	CUSAG=2	AGE=9	SEXE=1	CLANG=2	CPOST=7	BM=3	BM_1=1	PUIS12M=6	DPOLI2M=1	DCONS2M=2	PRIM3M=2
67	SINIST=2	CUSAG=1	AGE=9	SEXE=3	CLANG=1	CPOST=1	BM=3	BM_1=4	PUIS12M=5	DPOLI2M=1	DCONS2M=1	PRIM3M=2
69	SINIST=2	CUSAG=2	AGE=9	SEXE=2	CLANG=1	CPOST=1	BM=3	BM_1=4	PUIS12M=7	DPOLI2M=1	DCONS2M=2	PRIM3M=3
70	SINIST=2	CUSAG=2	AGE=9	SEXE=1	CLANG=1	CPOST=1	BM=3	BM_1=3	PUIS12M=7	DPOLI2M=1	DCONS2M=2	PRIM3M=3
71	SINIST=1	CUSAG=2	AGE=9	SEXE=1	CLANG=1	CPOST=8	BM=1	BM_1=1	PUIS12M=2	DPOLI2M=1	DCONS2M=1	PRIM3M=1
72	SINIST=2	CUSAG=2	AGE=9	SEXE=1	CLANG=1	CPOST=1	BM=1	BM_1=2	PUIS12M=11	DPOLI2M=1	DCONS2M=1	PRIM3M=3
73	SINIST=1	CUSAG=2	AGE=9	SEXE=1	CLANG=1	CPOST=12	BM=1	BM_1=1	PUIS12M=8	DPOLI2M=1	DCONS2M=2	PRIM3M=2
74	SINIST=1	CUSAG=2	AGE=9	SEXE=2	CLANG=2	CPOST=12	BM=1	BM_1=1	PUIS12M=6	DPOLI2M=1	DCONS2M=2	PRIM3M=2
75	SINIST=1	CUSAG=2	AGE=9	SEXE=2	CLANG=2	CPOST=6	BM=1	BM_1=1	PUIS12M=3	DPOLI2M=1	DCONS2M=1	PRIM3M=1
77	SINIST=2	CUSAG=2	AGE=8	SEXE=1	CLANG=2	CPOST=7	BM=6	BM_1=6	PUIS12M=5	DPOLI2M=2	DCONS2M=2	PRIM3M=1
78	SINIST=1	CUSAG=2	AGE=6	SEXE=1	CLANG=2	CPOST=11	BM=1	BM_1=1	PUIS12M=11	DPOLI2M=2	DCONS2M=1	PRIM3M=1
79	SINIST=1	CUSAG=1	AGE=9	SEXE=1	CLANG=2	CPOST=12	BM=1	BM_1=1	PUIS12M=9	DPOLI2M=1	DCONS2M=1	PRIM3M=2
80	SINIST=1	CUSAG=2	AGE=9	SEXE=1	CLANG=1	CPOST=5	BM=1	BM_1=1	PUIS12M=3	DPOLI2M=1	DCONS2M=1	PRIM3M=2
81	SINIST=1	CUSAG=2	AGE=4	SEXE=1	CLANG=1	CPOST=3	BM=1	BM_1=1	PUIS12M=3	DPOLI2M=1	DCONS2M=1	PRIM3M=2
84	SINIST=1	CUSAG=2	AGE=9	SEXE=2	CLANG=1	CPOST=11	BM=1	BM_1=1	PUIS12M=4	DPOLI2M=1	DCONS2M=1	PRIM3M=2
86	SINIST=2	CUSAG=2	AGE=9	SEXE=2	CLANG=1	CPOST=4	BM=3	BM_1=3	PUIS12M=6	DPOLI2M=1	DCONS2M=2	PRIM3M=2
87	SINIST=1	CUSAG=2	AGE=9	SEXE=1	CLANG=1	CPOST=8	BM=1	BM_1=1	PUIS12M=6	DPOLI2M=1	DCONS2M=1	PRIM3M=2
88	SINIST=2	CUSAG=2	AGE=4	SEXE=1	CLANG=1	CPOST=10	BM=1	BM_1=1	PUIS12M=7	DPOLI2M=1	DCONS2M=2	PRIM3M=2
89	SINIST=2	CUSAG=2	AGE=4	SEXE=1	CLANG=1	CPOST=1	BM=1	BM_1=1	PUIS12M=6	DPOLI2M=1	DCONS2M=1	PRIM3M=2
90	SINIST=1	CUSAG=2	AGE=9	SEXE=1	CLANG=1	CPOST=9	BM=1	BM_1=1	PUIS12M=4	DPOLI2M=1	DCONS2M=1	PRIM3M=2
91	SINIST=2	CUSAG=1	AGE=1	SEXE=1	CLANG=1	CPOST=1	BM=7	BM_1=8	PUIS12M=11	DPOLI2M=1	DCONS2M=1	PRIM3M=3
92	SINIST=1	CUSAG=2	AGE=9	SEXE=1	CLANG=1	CPOST=9	BM=1	BM_1=1	PUIS12M=7	DPOLI2M=1	DCONS2M=1	PRIM3M=2
94	SINIST=1	CUSAG=2	AGE=4	SEXE=1	CLANG=2	CPOST=6	BM=1	BM_1=1	PUIS12M=9	DPOLI2M=1	DCONS2M=1	PRIM3M=2
95	SINIST=1	CUSAG=2	AGE=9	SEXE=1	CLANG=2	CPOST=6	BM=1	BM_1=1	PUIS12M=4	DPOLI2M=1	DCONS2M=1	PRIM3M=2
97	SINIST=2	CUSAG=2	AGE=9	SEXE=1	CLANG=1	CPOST=4	BM=1	BM_1=1	PUIS12M=4	DPOLI2M=1	DCONS2M=1	PRIM3M=2
98	SINIST=1	CUSAG=2	AGE=4	SEXE=1	CLANG=1	CPOST=8	BM=1	BM_1=1	PUIS12M=6	DPOLI2M=1	DCONS2M=1	PRIM3M=2
99	SINIST=1	CUSAG=2	AGE=4	SEXE=1	CLANG=1	CPOST=4	BM=1	BM_1=1	PUIS12M=6	DPOLI2M=1	DCONS2M=1	PRIM3M=2
100	SINIST=1	CUSAG=2	AGE=9	SEXE=1	CLANG=1	CPOST=1	BM=1	BM_1=1	PUIS12M=4	DPOLI2M=1	DCONS2M=1	PRIM3M=2
102	SINIST=1	CUSAG=1	AGE=9	SEXE=1	CLANG=1	CPOST=1	BM=1	BM_1=1	PUIS12M=9	DPOLI2M=1	DCONS2M=1	PRIM3M=2
103	SINIST=1	CUSAG=2	AGE=9	SEXE=1	CLANG=1	CPOST=9	BM=1	BM_1=1	PUIS12M=3	DPOLI2M=1	DCONS2M=1	PRIM3M=2
105	SINIST=1	CUSAG=2	AGE=9	SEXE=1	CLANG=1	CPOST=5	BM=1	BM_1=1	PUIS12M=2	DPOLI2M=1	DCONS2M=2	PRIM3M=1
106	SINIST=2	CUSAG=1	AGE=9	SEXE=1	CLANG=1	CPOST=8	BM=5	BM_1=6	PUIS12M=6	DPOLI2M=1	DCONS2M=1	PRIM3M=3
107	SINIST=2	CUSAG=1	AGE=9	SEXE=1	CLANG=1	CPOST=1	BM=3	BM_1=4	PUIS12M=6	DPOLI2M=1	DCONS2M=1	PRIM3M=3
108	SINIST=2	CUSAG=2	AGE=9	SEXE=1	CLANG=2	CPOST=12	BM=1	BM_1=1	PUIS12M=6	DPOLI2M=1	DCONS2M=1	PRIM3M=2
109	SINIST=1	CUSAG=2	AGE=9	SEXE=1	CLANG=1	CPOST=3	BM=1	BM_1=1	PUIS12M=6	DPOLI2M=1	DCONS2M=1	PRIM3M=2
110	SINIST=1	CUSAG=2	AGE=9	SEXE=1	CLANG=1	CPOST=4	BM=1	BM_1=1	PUIS12M=4	DPOLI2M=1	DCONS2M=1	PRIM3M=1
111	SINIST=1	CUSAG=2	AGE=9	SEXE=2	CLANG=1	CPOST=1	BM=1	BM_1=1	PUIS12M=4	DPOLI2M=1	DCONS2M=1	PRIM3M=2
112	SINIST=1	CUSAG=2	AGE=9	SEXE=1	CLANG=2	CPOST=11	BM=1	BM_1=1	PUIS12M=7	DPOLI2M=1	DCONS2M=1	PRIM3M=2
113	SINIST=1	CUSAG=2	AGE=4	SEXE=1	CLANG=1	CPOST=2	BM=1	BM_1=1	PUIS12M=3	DPOLI2M=1	DCONS2M=1	PRIM3M=2
114	SINIST=1	CUSAG=2	AGE=9	SEXE=2	CLANG=1	CPOST=1	BM=1	BM_1=1	PUIS12M=5	DPOLI2M=1	DCONS2M=2	PRIM3M=2
115	SINIST=1	CUSAG=2	AGE=9	SEXE=1	CLANG=1	CPOST=8	BM=1	BM_1=1	PUIS12M=9	DPOLI2M=1	DCONS2M=1	PRIM3M=2
116	SINIST=1	CUSAG=2	AGE=9	SEXE=2	CLANG=1	CPOST=1	BM=1	BM_1=1	PUIS12M=1	DPOLI2M=1	DCONS2M=1	PRIM3M=1
119	SINIST=1	CUSAG=1	AGE=1	SEXE=1	CLANG=1	CPOST=1	BM=1	BM_1=1	PUIS12M=4	DPOLI2M=1	DCONS2M=1	PRIM3M=2
121	SINIST=1	CUSAG=2	AGE=3	SEXE=1	CLANG=1	CPOST=5	BM=1	BM_1=1	PUIS12M=10	DPOLI2M=1	DCONS2M=1	PRIM3M=1
122	SINIST=1	CUSAG=2	AGE=9	SEXE=1	CLANG=2	CPOST=11	BM=1	BM_1=1	PUIS12M=8	DPOLI2M=1	DCONS2M=1	PRIM3M=2
125	SINIST=1	CUSAG=2	AGE=4	SEXE=1	CLANG=1	CPOST=8	BM=1	BM_1=1	PUIS12M=4	DPOLI2M=1	DCONS2M=2	PRIM3M=2
126	SINIST=1	CUSAG=2	AGE=9	SEXE=1	CLANG=1	CPOST=10	BM=1	BM_1=1	PUIS12M=8	DPOLI2M=1	DCONS2M=1	PRIM3M=2
128	SINIST=1	CUSAG=2	AGE=5	SEXE=1	CLANG=2	CPOST=2	BM=1	BM_1=1	PUIS12M=7	DPOLI2M=1	DCONS2M=1	PRIM3M=2
129	SINIST=1	CUSAG=2	AGE=9	SEXE=2	CLANG=1	CPOST=3	BM=1	BM_1=1	PUIS12M=2	DPOLI2M=1	DCONS2M=1	PRIM3M=1
131	SINIST=1	CUSAG=2	AGE=3	SEXE=1	CLANG=1	CPOST=12	BM=1	BM_1=1	PUIS12M=3	DPOLI2M=1	DCONS2M=1	PRIM3M=2
132	SINIST=2	CUSAG=2	AGE=9	SEXE=2	CLANG=1	CPOST=1	BM=1	BM_1=1	PUIS12M=5	DPOLI2M=1	DCONS2M=1	PRIM3M=2
135	SINIST=1	CUSAG=2	AGE=4	SEXE=2	CLANG=1	CPOST=2	BM=1	BM_1=1	PUIS12M=6	DPOLI2M=1	DCONS2M=1	PRIM3M=2
136	SINIST=2	CUSAG=1	AGE=5	SEXE=1	CLANG=1	CPOST=2	BM=6	BM_1=7	PUIS12M=7	DPOLI2M=1	DCONS2M=1	PRIM3M=3
139	SINIST=2	CUSAG=2	AGE=9	SEXE=1	CLANG=1	CPOST=1	BM=1	BM_1=1	PUIS12M=4	DPOLI2M=1	DCONS2M=1	PRIM3M=2
140	SINIST=1	CUSAG=2	AGE=9	SEXE=1	CLANG=1	CPOST=10	BM=1	BM_1=1	PUIS12M=5	DPOLI2M=1	DCONS2M=1	PRIM3M=2
141	SINIST=2	CUSAG=2	AGE=6	SEXE=1	CLANG=1	CPOST=1	BM=3	BM_1=3	PUIS12M=2	DPOLI2M=1	DCONS2M=1	PRIM3M=2
142	SINIST=2	CUSAG=2	AGE=2	SEXE=1	CLANG=1	CPOST=2	BM=1	BM_1=1	PUIS12M=10	DPOLI2M=1	DCONS2M=1	PRIM3M=2
143	SINIST=1	CUSAG=2	AGE=9	SEXE=1	CLANG=2	CPOST=12	BM=1	BM_1=1	PUIS12M=4	DPOLI2M=1	DCONS2M=1	PRIM3M=2
145	SINIST=1	CUSAG=2	AGE=4	SEXE=1	CLANG=1	CPOST=1	BM=1	BM_1=1	PUIS12M=8	DPOLI2M=1	DCONS2M=1	PRIM3M=2
146	SINIST=2	CUSAG=1	AGE=9	SEXE=3	CLANG=1	CPOST=1	BM=11	BM_1=10	PUIS12M=3	DPOLI2M=1	DCONS2M=2	PRIM3M=3
148	SINIST=1	CUSAG=2	AGE=9	SEXE=2	CLANG=1	CPOST=10	BM=1	BM_1=1	PUIS12M=1	DPOLI2M=1	DCONS2M=1	PRIM3M=1
149	SINIST=1	CUSAG=2	AGE=9	SEXE=2	CLANG=2	CPOST=12	BM=1	BM_1=1	PUIS12M=6	DPOLI2M=1	DCONS2M=1	PRIM3M=2
150	SINIST=1	CUSAG=2	AGE=9	SEXE=2	CLANG=1	CPOST=1	BM=1	BM_1=1	PUIS12M=1	DPOLI2M=1	DCONS2M=1	PRIM3M=1
151	SINIST=1	CUSAG=2	AGE=2	SEXE=1	CLANG=2	CPOST=7	BM=1	BM_1=1	PUIS12M=2	DPOLI2M=1	DCONS2M=1	PRIM3M=1
152	SINIST=2	CUSAG=2	AGE=9	SEXE=2	CLANG=1	CPOST=1	BM=6	BM_1=7	PUIS12M=2	DPOLI2M=1	DCONS2M=2	PRIM3M=2
154	SINIST=2	CUSAG=1	AGE=9	SEXE=2	CLANG=1	CPOST=8	BM=5	BM_1=3	PUIS12M=9	DPOLI2M=1	DCONS2M=2	PRIM3M=3
159	SINIST=2	CUSAG=2	AGE=3	SEXE=1	CLANG=1	CPOST=3	BM=1	BM_1=2	PUIS12M=5	DPOLI2M=1	DCONS2M=1	PRIM3M=2
160	SINIST=1	CUSAG=2	AGE=9	SEXE=1	CLANG=1	CPOST=1	BM=1	BM_1=1	PUIS12M=7	DPOLI2M=1	DCONS2M=1	PRIM3M=2
161	SINIST=2	CUSAG=2	AGE=9	SEXE=2	CLANG=1	CPOST=3	BM=1	BM_1=2	PUIS12M=10	DPOLI2M=1	DCONS2M=2	PRIM3M=3
162	SINIST=1	CUSAG=2	AGE=9	SEXE=1	CLANG=1	CPOST=5	BM=1	BM_1=1	PUIS12M=5	DPOLI2M=1	DCONS2M=1	PRIM3M=2
163	SINIST=1	CUSAG=2	AGE=9	SEXE=2	CLANG=1	CPOST=1	BM=1	BM_1=1	PUIS12M=3	DPOLI2M=1	DCONS2M=1	PRIM3M=1
165	SINIST=2	CUSAG=2	AGE=9	SEXE=1	CLANG=2	CPOST=11	BM=3	BM_1=1	PUIS12M=8	DPOLI2M=1	DCONS2M=2	PRIM3M=2
166	SINIST=1	CUSAG=2	AGE=4	SEXE=2	CLANG=1	CPOST=10	BM=1	BM_1=1	PUIS12M=2	DPOLI2M=1	DCONS2M=1	PRIM3M=1
168	SINIST=1	CUSAG=2	AGE=9	SEXE=1	CLANG=1	CPOST=8	BM=1	BM_1=1	PUIS12M=4	DPOLI2M=1	DCONS2M=1	PRIM3M=1
169	SINIST=1	CUSAG=2	AGE=9	SEXE=2	CLANG=2	CPOST=2	BM=1	BM_1=1	PUIS12M=7	DPOLI2M=1	DCONS2M=1	PRIM3M=2
170	SINIST=1	CUSAG=2	AGE=9	SEXE=1	CLANG=2	CPOST=6	BM=1	BM_1=1	PUIS12M=10	DPOLI2M=1	DCONS2M=1	PRIM3M=2
172	SINIST=2	CUSAG=2	AGE=2	SEXE=1	CLANG=1	CPOST=1	BM=11	BM_1=11	PUIS12M=9	DPOLI2M=1	DCONS2M=1	PRIM3M=3
173	SINIST=2	CUSAG=2	AGE=9	SEXE=1	CLANG=1	CPOST=3	BM=1	BM_1=1	PUIS12M=2	DPOLI2M=1	DCONS2M=1	PRIM3M=1
174	SINIST=2	CUSAG=2	AGE=9	SEXE=3	CLANG=2	CPOST=2	BM=1	BM_1=2	PUIS12M=11	DPOLI2M=1	DCONS2M=1	PRIM3M=1
176	SINIST=2	CUSAG=1	AGE=9	SEXE=1	CLANG=1	CPOST=5	BM=4	BM_1=5	PUIS12M=9	DPOLI2M=1	DCONS2M=1	PRIM3M=3
179	SINIST=1	CUSAG=2	AGE=9	SEXE=1	CLANG=1	CPOST=8	BM=1	BM_1=1	PUIS12M=1	DPOLI2M=1	DCONS2M=1	PRIM3M=1
180	SINIST=1	CUSAG=2	AGE=9	SEXE=1	CLANG=2	CPOST=11	BM=1	BM_1=1	PUIS12M=4	DPOLI2M=1	DCONS2M=1	PRIM3M=2
181	SINIST=2	CUSAG=2	AGE=2	SEXE=1	CLANG=1	CPOST=1	BM=2	BM_1=3	PUIS12M=6	DPOLI2M=1	DCONS2M=2	PRIM3M=2
182	SINIST=1	CUSAG=2	AGE=9	SEXE=1	CLANG=2	CPOST=2	BM=1	BM_1=1	PUIS12M=3	DPOLI2M=1	DCONS2M=1	PRIM3M=2
183	SINIST=2	CUSAG=2	AGE=9	SEXE=1	CLANG=1	CPOST=1	BM=4	BM_1=2	PUIS12M=2	DPOLI2M=1	DCONS2M=2	PRIM3M=2
185	SINIST=1	CUSAG=2	AGE=9	SEXE=2	CLANG=1	CPOST=1	BM=1	BM_1=1	PUIS12M=7	DPOLI2M=1	DCONS2M=1	PRIM3M=2
186	SINIST=1	CUSAG=2	AGE=9	SEXE=1	CLANG=1	CPOST=1	BM=3	BM_1=1	PUIS12M=4	DPOLI2M=1	DCONS2M=1	PRIM3M=2
187	SINIST=1	CUSAG=2	AGE=9	SEXE=1	CLANG=2	CPOST=11	BM=1	BM_1=1	PUIS12M=6	DPOLI2M=1	DCONS2M=1	PRIM3M=2
188	SINIST=1	CUSAG=2	AGE=9	SEXE=2	CLANG=1	CPOST=1	BM=1	BM_1=1	PUIS12M=4	DPOLI2M=1	DCONS2M=1	PRIM3M=2
189	SINIST=1	CUSAG=2	AGE=9	SEXE=2	CLANG=2	CPOST=1	BM=11	BM_1=11	PUIS12M=7	DPOLI2M=1	DCONS2M=1	PRIM3M=3
190	SINIST=1	CUSAG=2	AGE=9	SEXE=2	CLANG=2	CPOST=12	BM=1	BM_1=1	PUIS12M=2	DPOLI2M=1	DCONS2M=1	PRIM3M=1
191	SINIST=2	CUSAG=1	AGE=9	SEXE=3	CLANG=1	CPOST=1	BM=8	BM_1=9	PUIS12M=7	DPOLI2M=1	DCONS2M=1	PRIM3M=3
192	SINIST=1	CUSAG=2	AGE=9	SEXE=1	CLANG=1	CPOST=3	BM=1	BM_1=1	PUIS12M=4	DPOLI2M=1	DCONS2M=1	PRIM3M=2
195	SINIST=1	CUSAG=2	AGE=9	SEXE=1	CLANG=1	CPOST=4	BM=1	BM_1=1	PUIS12M=8	DPOLI2M=1	DCONS2M=1	PRIM3M=2
196	SINIST=1	CUSAG=2	AGE=9	SEXE=1	CLANG=1	CPOST=9	BM=1	BM_1=1	PUIS12M=4	DPOLI2M=1	DCONS2M=1	PRIM3M=2
197	SINIST=1	CUSAG=2	AGE=9	SEXE=1	CLANG=1	CPOST=8	BM=1	BM_1=1	PUIS12M=2	DPOLI2M=1	DCONS2M=1	PRIM3M=1
198	SINIST=2	CUSAG=1	AGE=4	SEXE=3	CLANG=1	CPOST=2	BM=1	BM_1=1	PUIS12M=11	DPOLI2M=1	DCONS2M=2	PRIM3M=3
199	SINIST=1	CUSAG=2	AGE=9	SEXE=1	CLANG=1	CPOST=8	BM=1	BM_1=1	PUIS12M=2	DPOLI2M=1	DCONS2M=2	PRIM3M=1
201	SINIST=2	CUSAG=1	AGE=9	SEXE=3	CLANG=1	CPOST=1	BM=3	BM_1=4	PUIS12M=10	DPOLI2M=1	DCONS2M=1	PRIM3M=3
204	SINIST=1	CUSAG=2	AGE=9	SEXE=2	CLANG=1	CPOST=1	BM=1	BM_1=1	PUIS12M=1	DPOLI2M=1	DCONS2M=1	PRIM3M=1
